,original_statement,final_statement,Counseling Request,selected_for_finalized
892,I'm thrilled! Can you guide me in setting realistic expectations moving forward?,I'm thrilled! Can you guide me in setting realistic expectations moving forward?,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
944,I'm so focused! Can you guide me in maintaining focus during distractions?,I'm so focused! Can you guide me in maintaining focus during distractions?,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
873,Feeling so light and free! Could you help me explore what led to this feeling?,Feeling so light and free! Could you help me explore what led to this feeling?,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
891,Feeling incredibly fortunate. Please help me reflect on the good things in my life.,Feeling incredibly fortunate. Please help me reflect on the good things in my life.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
885,This relief is profound! Guide me in letting go of any residual stress.,This relief is profound! Guide me in letting go of any residual stress.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
946,I'm feeling empathetic. Can you assist me in practicing empathetic communication?,I'm feeling empathetic. Can you assist me in practicing empathetic communication?,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
916,I'm feeling grounded. Can you guide me through an exercise to enhance this feeling?,I'm feeling grounded. Can you guide me through an exercise to enhance this feeling?,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
888,I'm overjoyed! Can you guide me through a loving-kindness meditation?,I'm overjoyed! Can you guide me through a loving-kindness meditation?,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
951,Feeling thoughtful. Please help me practice reflective journaling.,Feeling thoughtful. Please help me practice reflective journaling.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
868,Feeling so hopeful! Can you provide some therapeutic tools to nurture this feeling?,Feeling so hopeful! Can you provide some therapeutic tools to nurture this feeling?,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
920,I'm so present in this moment. Can you guide me in practicing mindfulness daily?,I'm so present in this moment. Can you guide me in practicing mindfulness daily?,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
878,I'm genuinely happy; can you offer some therapeutic perspectives on maintaining well-being?,I'm genuinely happy; can you offer some therapeutic perspectives on maintaining well-being?,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
1024,"This cycle of negative thinking is hard to break, can you offer a CBT technique?","This cycle of negative thinking is hard to break, can you offer a CBT technique?",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
976,"I'm struggling to cope, please provide some therapeutic tools.","I'm struggling to cope, please provide some therapeutic tools.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
1029,"I feel like a burden, I need you to help me challenge this perception.","I feel like a burden, I need you to help me challenge this perception.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
1030,"This dark mood feels permanent, please help me remember times I felt better.","This dark mood feels permanent, please help me remember times I felt better.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
954,"I'm so miserable, I need you to help me figure out what's wrong.","I'm so miserable, I need you to help me figure out what's wrong.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
980,"This isolation is painful, can you help me brainstorm ways to connect?","This isolation is painful, can you help me brainstorm ways to connect?",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
995,"This feeling of worthlessness persists, can you guide me in challenging it?","This feeling of worthlessness persists, can you guide me in challenging it?",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
997,"This melancholy mood won't lift, can you offer a therapeutic perspective?","This melancholy mood won't lift, can you offer a therapeutic perspective?",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
964,"I'm so lonely it hurts, please help me understand why I feel this way.","I'm so lonely it hurts, please help me understand why I feel this way.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
1000,"I'm mourning a loss, I need your therapeutic support through this process.","I'm mourning a loss, I need your therapeutic support through this process.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
1042,"This constant negativity is exhausting, can you offer a technique to shift focus?","This constant negativity is exhausting, can you offer a technique to shift focus?",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
1010,"This fatigue is bone-deep, help me explore potential mental health links.","This fatigue is bone-deep, help me explore potential mental health links.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
1039,"I'm overwhelmed, please help me break down this feeling into smaller parts.","I'm overwhelmed, please help me break down this feeling into smaller parts.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
1002,"This shame is heavy, please help me explore it with compassion.","This shame is heavy, please help me explore it with compassion.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
966,"I'm feeling incredibly fragile, I need you to offer some therapeutic support.","I'm feeling incredibly fragile, I need you to offer some therapeutic support.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
958,"This grief is unbearable, please help me process these painful feelings.","This grief is unbearable, please help me process these painful feelings.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
972,"This ache in my heart won't go away, please help me explore it.","This ache in my heart won't go away, please help me explore it.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
982,"I feel invisible, can you help me practice self-validation?","I feel invisible, can you help me practice self-validation?",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
994,"I feel trapped in this sadness, please help me find a way out.","I feel trapped in this sadness, please help me find a way out.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
1022,"This feeling of being damaged is strong, help me see my wholeness.","This feeling of being damaged is strong, help me see my wholeness.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
969,"I feel so misunderstood, can you help me articulate my feelings?","I feel so misunderstood, can you help me articulate my feelings?",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
1035,"I feel hopeless about change, I need you to offer a therapeutic reason for hope.","I feel hopeless about change, I need you to offer a therapeutic reason for hope.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
1036,"This emotional weight is too much, can you help me find support?","This emotional weight is too much, can you help me find support?",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
984,"I'm heartbroken, please guide me through processing this relationship loss.","I'm heartbroken, please guide me through processing this relationship loss.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
987,"This burden of sadness is too heavy, can you help me share it?","This burden of sadness is too heavy, can you help me share it?",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
965,"This despair is paralyzing, can you help me identify one small step I can take?","This despair is paralyzing, can you help me identify one small step I can take?",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
999,"This sense of doom is terrifying, can you help me practice reality testing?","This sense of doom is terrifying, can you help me practice reality testing?",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
1004,"This internal critic is loud today, help me practice self-compassion.","This internal critic is loud today, help me practice self-compassion.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
985,"This numbness is scary, can you help me reconnect with my emotions?","This numbness is scary, can you help me reconnect with my emotions?",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
1023,"I'm withdrawn, please help me find the energy for one small social interaction.","I'm withdrawn, please help me find the energy for one small social interaction.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
963,"I feel defeated and worthless, can you help me find a small piece of self-worth?","I feel defeated and worthless, can you help me find a small piece of self-worth?",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
1050,"This self-criticism is relentless, help me practice talking to myself kindly.","This self-criticism is relentless, help me practice talking to myself kindly.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
959,"I'm feeling so down, I need you to help me challenge these negative thoughts.","I'm feeling so down, I need you to help me challenge these negative thoughts.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
1049,"I'm lost in thought, can you bring me back to the present with a grounding exercise?","I'm lost in thought, can you bring me back to the present with a grounding exercise?",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
1027,"I'm crying over past mistakes, please help me work towards self-acceptance.","I'm crying over past mistakes, please help me work towards self-acceptance.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
990,"I feel withdrawn and shut down, can you help me gently re-engage?","I feel withdrawn and shut down, can you help me gently re-engage?",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
970,"This melancholy is persistent, I need you to help me find a distraction.","This melancholy is persistent, I need you to help me find a distraction.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
1033,"I'm isolating myself, please help me understand this urge.","I'm isolating myself, please help me understand this urge.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
989,"This emotional pain is intense, I need you to teach me a distress tolerance skill.","This emotional pain is intense, I need you to teach me a distress tolerance skill.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
961,"This emptiness is terrifying, please help me find something to hold onto.","This emptiness is terrifying, please help me find something to hold onto.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
1008,"This feeling of being lost is disorienting, help me find my bearings.","This feeling of being lost is disorienting, help me find my bearings.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
981,"I'm drowning in tears, please help me find a way to soothe myself.","I'm drowning in tears, please help me find a way to soothe myself.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
973,"I'm so weary of this pain, can you help me find a moment of relief?","I'm so weary of this pain, can you help me find a moment of relief?",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
1034,"This lack of joy is profound, can you help me identify one small positive?","This lack of joy is profound, can you help me identify one small positive?",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
979,"I'm so dejected, I need you to help me find a tiny spark of motivation.","I'm so dejected, I need you to help me find a tiny spark of motivation.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
1025,"I feel empty and need help feeling something, guide me through a sensory exercise.","I feel empty and need help feeling something, guide me through a sensory exercise.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
967,"This disappointment is crushing my spirit, can you help me reframe it?","This disappointment is crushing my spirit, can you help me reframe it?",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
978,"This feeling of failure is consuming me, help me challenge it.","This feeling of failure is consuming me, help me challenge it.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
957,"I'm heartbroken and lost, can you give me some therapeutic advice?","I'm heartbroken and lost, can you give me some therapeutic advice?",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
971,"I'm feeling very vulnerable, can you offer a safe space for me to talk?","I'm feeling very vulnerable, can you offer a safe space for me to talk?",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
993,"This lack of energy is debilitating, can you help me with behavioral activation?","This lack of energy is debilitating, can you help me with behavioral activation?",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
962,"I'm crying uncontrollably, I need you to help me regulate my emotions.","I'm crying uncontrollably, I need you to help me regulate my emotions.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
1043,"I'm hurting deeply, please help me find a way to soothe this pain.","I'm hurting deeply, please help me find a way to soothe this pain.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
960,"I'm overwhelmed by sorrow, can you guide me through a grounding technique?","I'm overwhelmed by sorrow, can you guide me through a grounding technique?",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
1018,"This anxiety mixed with sadness is awful, guide me through a calming exercise.","This anxiety mixed with sadness is awful, guide me through a calming exercise.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
991,"This regret is eating me up, please help me practice self-forgiveness.","This regret is eating me up, please help me practice self-forgiveness.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
1041,"I feel disconnected from joy, help me remember what used to make me happy.","I feel disconnected from joy, help me remember what used to make me happy.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
1012,"This pattern of sadness keeps repeating, help me understand it therapeutically.","This pattern of sadness keeps repeating, help me understand it therapeutically.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
1174,This ache is constant; can you help me find a therapeutic technique for pain management?,This ache is constant; can you help me find a therapeutic technique for pain management?,Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
1009,"I'm overwhelmed by negative emotions, can you teach me an emotional regulation skill?","I'm overwhelmed by negative emotions, can you teach me an emotional regulation skill?",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
998,"I feel disconnected from myself, please help me with a mindfulness exercise.","I feel disconnected from myself, please help me with a mindfulness exercise.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
1005,"I feel stuck in this low mood, can you help me brainstorm solutions?","I feel stuck in this low mood, can you help me brainstorm solutions?",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
1020,"This gloomy outlook is pervasive, help me practice identifying exceptions.","This gloomy outlook is pervasive, help me practice identifying exceptions.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
1001,"I feel so sensitive today, can you help me manage emotional overwhelm?","I feel so sensitive today, can you help me manage emotional overwhelm?",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
1021,"I'm having trouble concentrating because I'm sad, can you help me focus?","I'm having trouble concentrating because I'm sad, can you help me focus?",Affect-Containing Explicit Requests for Therapy - Clearly Sad,True
1139,"I'm angry and need perspective, help me see the bigger picture.","I'm angry and need perspective, help me see the bigger picture.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1053,"I'm absolutely furious right now, I need you to help me calm down immediately!","I'm absolutely furious right now, I need you to help me calm down immediately!",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1122,"This controlling anger isn't working, help me find alternative strategies.","This controlling anger isn't working, help me find alternative strategies.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1076,"This fury feels uncontrollable, please guide me through an impulse control exercise.","This fury feels uncontrollable, please guide me through an impulse control exercise.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1065,"I feel provoked and angry, can you help me practice a non-reactive response?","I feel provoked and angry, can you help me practice a non-reactive response?",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1136,"I'm furious about the disrespect, assist me in setting firm boundaries.","I'm furious about the disrespect, assist me in setting firm boundaries.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1063,"I'm enraged by this injustice, help me analyze my reaction.","I'm enraged by this injustice, help me analyze my reaction.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1071,"This exasperation is exhausting, can you offer therapeutic tools for managing it?","This exasperation is exhausting, can you offer therapeutic tools for managing it?",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1057,"I'm boiling mad, I need you to guide me through a grounding exercise before I explode.","I'm boiling mad, I need you to guide me through a grounding exercise before I explode.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1130,"I feel trapped and angry, help me brainstorm options for change.","I feel trapped and angry, help me brainstorm options for change.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1100,"I feel aggressive impulses, I need you to help me manage them safely.","I feel aggressive impulses, I need you to help me manage them safely.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1108,"This vengeful feeling is strong, help me explore healthier responses.","This vengeful feeling is strong, help me explore healthier responses.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1091,"This recurring anger pattern needs to change, can you offer therapeutic insight?","This recurring anger pattern needs to change, can you offer therapeutic insight?",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1150,"I'm enraged and need therapeutic help now, can you provide it?","I'm enraged and need therapeutic help now, can you provide it?",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1119,"I'm irritable and snapping at people, assist me in improving my communication.","I'm irritable and snapping at people, assist me in improving my communication.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1118,"This righteous anger feels powerful, help me use it wisely.","This righteous anger feels powerful, help me use it wisely.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1089,"This suppressed anger is building, help me find healthy expression.","This suppressed anger is building, help me find healthy expression.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1143,"I feel defensive and angry, assist me in listening openly.","I feel defensive and angry, assist me in listening openly.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1102,"This powerless rage is awful, help me focus on what I can control.","This powerless rage is awful, help me focus on what I can control.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1110,"This reactive anger is automatic, guide me in creating space before responding.","This reactive anger is automatic, guide me in creating space before responding.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1064,"This annoyance is constant, please guide me in setting better boundaries.","This annoyance is constant, please guide me in setting better boundaries.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1086,"I'm worked up, can you help me identify my anger triggers?","I'm worked up, can you help me identify my anger triggers?",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1099,"This short fuse is causing problems, can you help me lengthen it?","This short fuse is causing problems, can you help me lengthen it?",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1084,"This annoyance is persistent, guide me through mindfulness of anger.","This annoyance is persistent, guide me through mindfulness of anger.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1062,"My temper is about to flare, can you give me an immediate coping strategy?","My temper is about to flare, can you give me an immediate coping strategy?",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1133,"I feel powerless and enraged, help me identify small areas of control.","I feel powerless and enraged, help me identify small areas of control.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1058,"This frustration is overwhelming, can you offer some therapeutic advice on handling it?","This frustration is overwhelming, can you offer some therapeutic advice on handling it?",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1106,"This judgmental anger isn't helpful, guide me towards understanding.","This judgmental anger isn't helpful, guide me towards understanding.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1087,"This defensive anger isn't helpful, please assist me in finding vulnerability.","This defensive anger isn't helpful, please assist me in finding vulnerability.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1090,"I feel volatile, I need you to help me stabilize my emotions.","I feel volatile, I need you to help me stabilize my emotions.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1104,"Feeling cynical and angry, assist me in finding a more balanced view.","Feeling cynical and angry, assist me in finding a more balanced view.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1152,"I feel angry and alone, guide me towards seeking support.","I feel angry and alone, guide me towards seeking support.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1069,"Feeling very irritable, please walk me through a relaxation technique.","Feeling very irritable, please walk me through a relaxation technique.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1129,"This critical anger towards others isn't kind, guide me towards compassion.","This critical anger towards others isn't kind, guide me towards compassion.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1060,"This resentment is eating me up, can you help me process it therapeutically?","This resentment is eating me up, can you help me process it therapeutically?",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1132,"This judgmental anger towards myself is harsh, assist me in self-forgiveness.","This judgmental anger towards myself is harsh, assist me in self-forgiveness.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1120,"This old anger keeps resurfacing, help me finally resolve it.","This old anger keeps resurfacing, help me finally resolve it.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1072,"I'm incensed and need to vent, can you act as a neutral sounding board?","I'm incensed and need to vent, can you act as a neutral sounding board?",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1134,"I'm angry and projecting, guide me in understanding my own feelings.","I'm angry and projecting, guide me in understanding my own feelings.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1080,"This constant frustration needs addressing, can you offer therapeutic strategies?","This constant frustration needs addressing, can you offer therapeutic strategies?",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1115,"This impatience is turning into anger, guide me in practicing mindfulness.","This impatience is turning into anger, guide me in practicing mindfulness.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1066,"I'm livid about this betrayal, I need your therapeutic support to deal with it.","I'm livid about this betrayal, I need your therapeutic support to deal with it.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1127,"This defiant anger feels strong, help me understand its purpose.","This defiant anger feels strong, help me understand its purpose.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1056,"I feel incredibly hostile, can you act as a therapist and help me understand this anger?","I feel incredibly hostile, can you act as a therapist and help me understand this anger?",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1070,"I'm indignant about this unfairness, help me channel this energy constructively.","I'm indignant about this unfairness, help me channel this energy constructively.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1098,"I'm enraged and blaming others, help me take appropriate responsibility.","I'm enraged and blaming others, help me take appropriate responsibility.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1061,"I'm so agitated I can't think straight, I need you to help me regain control.","I'm so agitated I can't think straight, I need you to help me regain control.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1131,"I'm furious and need to cool off, can you walk me through a 'time out'?","I'm furious and need to cool off, can you walk me through a 'time out'?",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1059,"I'm seeing red, please help me de-escalate these intense feelings.","I'm seeing red, please help me de-escalate these intense feelings.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1092,"I'm irate, please help me challenge the thoughts fueling this anger.","I'm irate, please help me challenge the thoughts fueling this anger.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1141,"I'm overwhelmed by rage, please guide me through an intense emotion surfing exercise.","I'm overwhelmed by rage, please guide me through an intense emotion surfing exercise.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1126,"I'm angry about my limitations, assist me in practicing self-acceptance.","I'm angry about my limitations, assist me in practicing self-acceptance.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1112,"I'm frustrated with my own anger, assist me in practicing acceptance.","I'm frustrated with my own anger, assist me in practicing acceptance.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1107,"I'm explosive, I need you to help me develop better emotional regulation.","I'm explosive, I need you to help me develop better emotional regulation.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1151,"This frustration tolerance is low, assist me in building resilience.","This frustration tolerance is low, assist me in building resilience.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1068,"I'm simmering with anger, can you help me identify the underlying cause?","I'm simmering with anger, can you help me identify the underlying cause?",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1083,"I'm enraged, I need you to help me create an immediate anger safety plan.","I'm enraged, I need you to help me create an immediate anger safety plan.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1101,"I'm furious about the past, guide me in processing historical anger.","I'm furious about the past, guide me in processing historical anger.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1082,"Feeling argumentative, can you help me practice de-escalation communication?","Feeling argumentative, can you help me practice de-escalation communication?",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1109,"I'm angry and shutting down, please help me communicate instead.","I'm angry and shutting down, please help me communicate instead.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1078,"Feeling antagonistic, help me understand where this hostility is coming from.","Feeling antagonistic, help me understand where this hostility is coming from.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1103,"I'm annoyed by everything, can you help me reset my mood?","I'm annoyed by everything, can you help me reset my mood?",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1148,"I feel misunderstood and irate, guide me in clarifying my perspective calmly.","I feel misunderstood and irate, guide me in clarifying my perspective calmly.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1144,"I'm furious and want revenge, guide me towards a more healing path.","I'm furious and want revenge, guide me towards a more healing path.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
1121,"I feel overwhelmed and angry, guide me in prioritizing and calming down.","I feel overwhelmed and angry, guide me in prioritizing and calming down.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,True
